<Mon Oct 12 11:23:32 2020> Alias(2720): '/islets' | @Pepper Tavern (361)
<Mon Oct 12 11:59:12 2020> Alias(2720): '/reloadnpc' | @Noxhil Home (1031)
<Mon Oct 12 12:01:02 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
<Mon Oct 12 12:01:21 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
<Mon Oct 12 12:02:03 2020> Alias(2720): '/rl' | @Noxhil Home (1031)
<Mon Oct 12 12:02:52 2020> Alias(2720): '/rl' | @Noxhil Home (1031)
<Mon Oct 12 12:03:08 2020> Alias(2720): '/rl' | @Noxhil Home (1031)
<Mon Oct 12 12:03:21 2020> Alias(2720): 'noxhil' | @Pepper Tavern (361)
<Mon Oct 12 12:03:44 2020> Alias(2720): '/stealth' | @Cave (522)
<Mon Oct 12 12:04:06 2020> Alias(2720): 'waypoint' | @Cave (522)
<Mon Oct 12 12:04:12 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 12:05:30 2020> Alias(2720): '/warp 5810 10 10' | @Valley Farm (5810)
<Mon Oct 12 12:05:38 2020> Alias(2720): '/warp 5810' | @Valley Farm (5810)
<Mon Oct 12 12:05:48 2020> Alias(2720): '/warp 5810 20 50' | @Valley Farm (5810)
<Mon Oct 12 12:08:03 2020> Alias(2720): '/rl' | @Cave (522)
<Mon Oct 12 12:08:06 2020> Alias(2720): 'reloadnpc' | @Cave (522)
<Mon Oct 12 12:08:10 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 12:08:46 2020> Alias(2720): '/rl' | @Cave (522)
<Mon Oct 12 12:08:54 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 12:09:48 2020> Alias(2720): '/rl' | @Cave (522)
<Mon Oct 12 12:09:49 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 12:10:35 2020> Alias(2720): 'waypoint' | @Cave (522)
<Mon Oct 12 12:10:38 2020> Alias(2720): 'waypoint' | @Cave (522)
<Mon Oct 12 12:11:24 2020> Alias(2720): '/rl' | @Cave (522)
<Mon Oct 12 12:11:59 2020> Alias(2720): 'transport' | @Arctic Tavern (3812)
<Mon Oct 12 12:12:03 2020> Alias(2720): 'waypoint' | @Arctic Tavern (3812)
<Mon Oct 12 12:12:15 2020> Alias(2720): 'kugnae' | @Arctic Tavern (3812)
<Mon Oct 12 12:12:19 2020> Alias(2720): 'arctic' | @Walsuk Tavern (2)
<Mon Oct 12 12:12:54 2020> Alias(2720): 'islets' | @Pepper Tavern (361)
<Mon Oct 12 12:12:59 2020> Alias(2720): 'forest' | @Noxhil Home (1031)
<Mon Oct 12 12:13:02 2020> Alias(2720): 'mantis' | @Noxhil Home (1031)
<Mon Oct 12 12:13:09 2020> Alias(2720): 'waypoint' | @Cave (522)
<Mon Oct 12 12:13:20 2020> Alias(2720): 'forest' | @Walsuk Tavern (2)
<Mon Oct 12 12:13:22 2020> Alias(2720): 'mantis' | @Walsuk Tavern (2)
<Mon Oct 12 12:13:38 2020> Alias(2720): 'kugnae' | @Wilderness (1002)
<Mon Oct 12 12:13:42 2020> Alias(2720): 'rotah' | @Walsuk Tavern (2)
<Mon Oct 12 12:13:44 2020> Alias(2720): 'rotah' | @Walsuk Tavern (2)
<Mon Oct 12 12:13:53 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Mon Oct 12 12:13:59 2020> Alias(2720): 'waypoint' | @Sel's Home (1143)
<Mon Oct 12 12:14:13 2020> Alias(2720): 'waypoint' | @Yon's Home (1142)
<Mon Oct 12 12:14:19 2020> Alias(2720): 'waypoint' | @Thane's Cave (1144)
<Mon Oct 12 12:14:25 2020> Alias(2720): 'gmwarp splinter' | @Thane's Cave (1144)
<Mon Oct 12 12:14:30 2020> Alias(2720): 'waypoint' | @Splinter's House (1141)
<Mon Oct 12 12:15:08 2020> Alias(2720): '/warp 1455 5 5' | @Mountain Top (1455)
<Mon Oct 12 12:15:10 2020> Alias(2720): 'waypoint' | @Mountain Top (1455)
<Mon Oct 12 12:15:33 2020> Alias(2720): 'scribe' | @Walsuk Tavern (2)
<Mon Oct 12 12:21:38 2020> Alias(2720): '/rl' | @Islets (1008)
<Mon Oct 12 12:21:44 2020> Alias(2720): 'gmwarp islets' | @Mountain Top (1455)
<Mon Oct 12 12:22:45 2020> Alias(2720): '/rl' | @Arctic Village (3811)
<Mon Oct 12 12:23:04 2020> Alias(2720): 'rotah' | @Pepper Tavern (361)
<Mon Oct 12 12:23:07 2020> Alias(2720): 'sel' | @Wilderness (1002)
<Mon Oct 12 12:23:31 2020> Alias(2720): 'lon' | @Pepper Tavern (361)
<Mon Oct 12 12:23:37 2020> Alias(2720): 'sel' | @Pepper Tavern (361)
<Mon Oct 12 12:23:44 2020> Alias(2720): 'yon' | @Yunsil Tavern (362)
<Mon Oct 12 12:23:54 2020> Alias(2720): 'splinter' | @Yunsil Tavern (362)
<Mon Oct 12 12:24:01 2020> Alias(2720): 'thane' | @Yunsil Tavern (362)
<Mon Oct 12 12:24:20 2020> Alias(2720): 'ogre' | @Spring Tavern (332)
<Mon Oct 12 12:24:37 2020> Alias(2720): 'waypoint' | @Home of Ugh (42)
<Mon Oct 12 12:24:42 2020> Alias(2720): 'ogre' | @Spring Tavern (332)
<Mon Oct 12 12:25:33 2020> Alias(2720): '/rl' | @Hamgyong Nam-Do (114)
<Mon Oct 12 12:25:40 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Mon Oct 12 12:25:48 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Mon Oct 12 12:25:53 2020> Alias(2720): 'kugnae' | @Haggard Mate Tavern (1027)
<Mon Oct 12 12:26:44 2020> Alias(2720): '/rl' | @Kugnae (0)
<Mon Oct 12 12:27:02 2020> Alias(2720): 'buya' | @Kafas Tavern (1025)
<Mon Oct 12 12:27:41 2020> Alias(2720): 'waypoint' | @Sying's Shop (3802)
<Mon Oct 12 12:27:48 2020> Alias(2720): 'kaming' | @Yunsil Tavern (362)
<Mon Oct 12 12:28:10 2020> Alias(2720): 'waypoint' | @Haeng Tavern (1013)
<Mon Oct 12 12:28:15 2020> Alias(2720): 'north' | @Haeng Tavern (1013)
<Mon Oct 12 12:28:21 2020> Alias(2720): 'north' | @Pepper Tavern (361)
<Mon Oct 12 12:28:58 2020> Alias(2720): 'waypoint' | @Sanhae Hall (1127)
<Mon Oct 12 12:29:03 2020> Alias(2720): 'sanhae' | @Yunsil Tavern (362)
<Mon Oct 12 12:29:26 2020> Alias(2720): 'waypoint' | @Caretaker's room (4709)
<Mon Oct 12 12:30:46 2020> Alias(2720): '/rl' | @Caretaker's room (4709)
<Mon Oct 12 12:31:14 2020> Alias(2720): '/rl' | @Caretaker's room (4709)
