<Sun Oct  4 18:03:01 2020> Alias(2720): '/warp 1401 10 10' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:00:35 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 20:00:36 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 20:00:41 2020> Alias(2720): '/map 1401' | @Baekho Shrine (1406)
<Sun Oct  4 20:00:45 2020> Alias(2720): '/warp 1401 10 10' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:01:22 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:01:33 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:01:41 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:02:19 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:02:22 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:02:35 2020> Alias(2720): '/warp 1406 10 10' | @Baekho Shrine (1406)
<Sun Oct  4 20:03:23 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 20:03:24 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 20:03:53 2020> Alias(2720): '/warp 1401 10 10' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:04:09 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:04:09 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:04:17 2020> Alias(2720): '/item gold_acorn' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:04:46 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:04:52 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:05:13 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:05:15 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:05:49 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:05:53 2020> Alias(2720): '/item gold_acorn' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:06:55 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:07:00 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:07:10 2020> Alias(2720): '/item gold_acorn' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:07:48 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:07:48 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:07:55 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:13:37 2020> Alias(2720): '/warp 1406 10 10' | @Baekho Shrine (1406)
<Sun Oct  4 20:14:25 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 20:55:38 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 20:55:42 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 20:55:57 2020> Alias(2720): '/item gold_acorn' | @Baekho Shrine (1406)
<Sun Oct  4 20:56:06 2020> Alias(2720): '/item gold acorn' | @Baekho Shrine (1406)
<Sun Oct  4 20:56:11 2020> Alias(2720): '/item gold_acorn' | @Baekho Shrine (1406)
<Sun Oct  4 20:56:14 2020> Alias(2720): '/warp 1401 10 10' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:56:20 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:56:50 2020> Alias(2720): '/item chung_ryong_key' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:59:31 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 20:59:33 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 21:00:42 2020> Alias(2720): '/reloaditem' | @Chung Ryong Shrine (1401)
<Sun Oct  4 21:02:55 2020> Alias(2720): '/warp 1416 10 10' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:03:25 2020> Alias(2720): '/rl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:03:26 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:03:36 2020> Alias(2720): '/item hyun_moo_key' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:04:04 2020> Alias(2720): '/item cloth' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:04:19 2020> Alias(2720): '/item fine_clotyh' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:04:22 2020> Alias(2720): '/item fine_cloth' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:07:22 2020> Alias(2720): '/item fine_cloth' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:07:27 2020> Alias(2720): '/rl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:08:06 2020> Alias(2720): '/warp 1401 10 10' | @Chung Ryong Shrine (1401)
<Sun Oct  4 21:08:12 2020> Alias(2720): '/tl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 21:08:27 2020> Alias(2720): '/warp 1416 10 10' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:16:25 2020> Alias(2720): '/rl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:16:28 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:16:31 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:16:38 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:16:45 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:16:53 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:00 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:11 2020> Alias(2720): 'item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:17 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:20 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:23 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:24 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:25 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:26 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:26 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:27 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:28 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:29 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:29 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:30 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:31 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:32 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:32 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:33 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:34 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:35 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:35 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:36 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:37 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:38 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:38 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:39 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:40 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:41 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:41 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:42 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:43 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:44 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:44 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:45 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:46 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:46 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:49 2020> Alias(2720): '/item ginko_wood' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:17:50 2020> Alias(2720): '/tl' | @Hyun Moo Shrine (1416)
<Sun Oct  4 21:18:55 2020> Alias(2720): '/warp 3110 10 10' | @Tiger Guardroom 2 (3110)
<Sun Oct  4 21:19:10 2020> Alias(2720): '/stealth' | @Tiger Guardroom 2 (3110)
<Sun Oct  4 21:19:51 2020> Alias(2720): '/warp 110 10 10' | @Tiger Guardroom 1 (110)
<Sun Oct  4 21:19:56 2020> Alias(2720): '/warp 110 10 10' | @Tiger Guardroom 1 (110)
<Sun Oct  4 21:20:06 2020> Alias(2720): '/warp 4110 10 10' | @Tiger Guardroom 3 (4110)
<Sun Oct  4 21:20:12 2020> Alias(2720): '/warp 4110 10 10' | @Tiger Guardroom 3 (4110)
<Sun Oct  4 21:20:34 2020> Alias(2720): '/warp 110 10 10' | @Tiger Guardroom 1 (110)
