<Sun Oct 11 13:37:14 2020> Alias(2720): '/rl' | @Pepper Tavern (361)
<Sun Oct 11 14:23:15 2020> Alias(2720): '/rl' | @Pepper Tavern (361)
<Sun Oct 11 14:23:21 2020> Alias(2720): 'waypoint' | @Home of Ugh (42)
<Sun Oct 11 14:24:16 2020> Alias(2720): '/rl' | @Home of Ugh (42)
<Sun Oct 11 14:24:16 2020> Alias(2720): 'waypoint' | @Home of Ugh (42)
<Sun Oct 11 14:25:15 2020> Alias(2720): 'transport' | @Pepper Tavern (361)
<Sun Oct 11 14:25:23 2020> Alias(2720): 'hamgyong' | @Pepper Tavern (361)
<Sun Oct 11 14:32:10 2020> Alias(2720): '/map' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:32:14 2020> Alias(2720): 'map' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:32:39 2020> Alias(2720): '/mapname' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:32:43 2020> Alias(2720): '/where' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:34:55 2020> Alias(2720): '/rl' | @Kugnae (0)
<Sun Oct 11 14:35:43 2020> Alias(2720): '/rl' | @Kugnae (0)
<Sun Oct 11 14:38:26 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:38:42 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:45:24 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:46:04 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:46:23 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:46:56 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:47:39 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:48:05 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:48:44 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:48:47 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:50:24 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:50:25 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:50:48 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:50:54 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:50:59 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:51:00 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:53:02 2020> Alias(2720): '/rl' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:53:03 2020> Alias(2720): '/waypoint' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:53:05 2020> Alias(2720): 'waypoint' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:53:51 2020> Alias(2720): 'transport' | @Haggard Mate Tavern (1027)
<Sun Oct 11 14:54:03 2020> Alias(2720): 'transport' | @Walsuk Tavern (2)
<Sun Oct 11 14:54:07 2020> Alias(2720): 'hausson' | @Walsuk Tavern (2)
<Sun Oct 11 14:55:46 2020> Alias(2720): 'mythic' | @Walsuk Tavern (2)
<Sun Oct 11 14:56:36 2020> Alias(2720): '/rl' | @Haeng Tavern (1013)
<Sun Oct 11 14:57:05 2020> Alias(2720): 'kugnae' | @Haeng Tavern (1013)
<Sun Oct 11 14:57:10 2020> Alias(2720): 'north' | @Walsuk Tavern (2)
<Sun Oct 11 14:57:14 2020> Alias(2720): 'waypoint' | @Walsuk Tavern (2)
<Sun Oct 11 14:57:16 2020> Alias(2720): 'mythic' | @Walsuk Tavern (2)
<Sun Oct 11 14:57:25 2020> Alias(2720): 'waypoint' | @Haeng Tavern (1013)
<Sun Oct 11 14:57:37 2020> Alias(2720): 'north' | @Haeng Tavern (1013)
<Sun Oct 11 14:57:39 2020> Alias(2720): 'kugnae' | @Haeng Tavern (1013)
<Sun Oct 11 14:57:43 2020> Alias(2720): 'north' | @Walsuk Tavern (2)
<Sun Oct 11 14:58:43 2020> Alias(2720): '/warp 3812 10 10' | @Arctic Tavern (3812)
<Sun Oct 11 15:00:07 2020> Alias(2720): 'waypoint' | @Kafas Tavern (1025)
<Sun Oct 11 15:00:10 2020> Alias(2720): 'transport' | @Kafas Tavern (1025)
<Sun Oct 11 15:00:14 2020> Alias(2720): '/rl' | @Kafas Tavern (1025)
<Sun Oct 11 15:00:17 2020> Alias(2720): 'waypoint' | @Kafas Tavern (1025)
<Sun Oct 11 15:00:23 2020> Alias(2720): 'dae' | @Kafas Tavern (1025)
<Sun Oct 11 15:00:27 2020> Alias(2720): 'kugnae' | @Kafas Tavern (1025)
<Sun Oct 11 15:00:31 2020> Alias(2720): 'dae' | @Walsuk Tavern (2)
<Sun Oct 11 15:08:00 2020> Alias(2720): '/rl' | @Sying's Shop (3802)
<Sun Oct 11 15:08:03 2020> Alias(2720): 'waypoint' | @Sying's Shop (3802)
<Sun Oct 11 15:08:08 2020> Alias(2720): '/kugnae' | @Sying's Shop (3802)
<Sun Oct 11 15:08:10 2020> Alias(2720): 'kugnae' | @Sying's Shop (3802)
<Sun Oct 11 15:08:43 2020> Alias(2720): '/rl' | @Sying's Shop (3802)
<Sun Oct 11 15:08:43 2020> Alias(2720): 'kugnae' | @Sying's Shop (3802)
<Sun Oct 11 15:08:50 2020> Alias(2720): 'kugnae' | @Spring Tavern (332)
<Sun Oct 11 15:09:02 2020> Alias(2720): 'waypoint' | @Redcap Message (7)
<Sun Oct 11 15:09:23 2020> Alias(2720): 'waypoint' | @Sying's Shop (3802)
<Sun Oct 11 15:09:35 2020> Alias(2720): 'kaming' | @Yunsil Tavern (362)
<Sun Oct 11 15:10:43 2020> Alias(2720): 'north' | @Yunsil Tavern (362)
<Sun Oct 11 15:11:52 2020> Alias(2720): '/warp 1122 15 4' | @Spruce Inn (1122)
<Sun Oct 11 15:12:31 2020> Alias(2720): '/rl' | @Spruce Inn (1122)
<Sun Oct 11 15:12:31 2020> Alias(2720): 'waypoint' | @Spruce Inn (1122)
<Sun Oct 11 15:15:10 2020> Alias(2720): '/rl' | @Spruce Inn (1122)
<Sun Oct 11 15:15:11 2020> Alias(2720): '/warp 1122 15 6' | @Spruce Inn (1122)
<Sun Oct 11 15:15:19 2020> Alias(2720): 'waypoint' | @Sanhae Hall (1127)
<Sun Oct 11 15:15:38 2020> Alias(2720): 'sanhae' | @Spruce Inn (1122)
<Sun Oct 11 15:15:40 2020> Alias(2720): 'transport' | @Spruce Inn (1122)
<Sun Oct 11 15:15:46 2020> Alias(2720): 'sanhae' | @Walsuk Tavern (2)
<Sun Oct 11 15:16:18 2020> Alias(2720): 'sel' | @Spruce Inn (1122)
<Sun Oct 11 15:16:21 2020> Alias(2720): 'sel' | @Spruce Inn (1122)
<Sun Oct 11 15:16:25 2020> Alias(2720): 'rotah' | @Spruce Inn (1122)
<Sun Oct 11 15:16:30 2020> Alias(2720): 'buya' | @Spruce Inn (1122)
<Sun Oct 11 15:17:06 2020> Alias(2720): 'waypoint' | @Sel's Home (1143)
<Sun Oct 11 15:17:16 2020> Alias(2720): 'waypoint' | @Yon's Home (1142)
<Sun Oct 11 20:02:03 2020> Alias(2720): 'sanhae' | @Pepper Tavern (361)
<Sun Oct 11 20:02:13 2020> Alias(2720): '/rl' | @Sanhae Valley (1121)
<Sun Oct 11 20:02:16 2020> Alias(2720): 'sanhae' | @Yunsil Tavern (362)
<Sun Oct 11 20:02:41 2020> Alias(2720): 'sel' | @Yunsil Tavern (362)
<Sun Oct 11 20:02:43 2020> Alias(2720): 'yon' | @Yunsil Tavern (362)
<Sun Oct 11 20:04:09 2020> Alias(2720): '/rl' | @Yon's Home (1142)
<Sun Oct 11 20:04:15 2020> Alias(2720): 'waypoint' | @Yon's Home (1142)
<Sun Oct 11 20:05:07 2020> Alias(2720): '/rl' | @Yon's Home (1142)
<Sun Oct 11 20:05:18 2020> Alias(2720): 'sel' | @Yon's Home (1142)
<Sun Oct 11 20:05:22 2020> Alias(2720): 'yon' | @Yunsil Tavern (362)
<Sun Oct 11 20:09:19 2020> Alias(2720): '/rl' | @Splinter's House (1141)
<Sun Oct 11 20:09:20 2020> Alias(2720): 'waypoint' | @Splinter's House (1141)
<Sun Oct 11 20:09:31 2020> Alias(2720): 'transport' | @Pepper Tavern (361)
<Sun Oct 11 20:09:36 2020> Alias(2720): 'splinter' | @Pepper Tavern (361)
<Sun Oct 11 20:09:39 2020> Alias(2720): 'wood' | @Pepper Tavern (361)
<Sun Oct 11 20:16:04 2020> Alias(2720): '/rl' | @Thane's Cave (1144)
