<Mon Sep 28 12:29:25 2020> Alias(2720): '/stealth' | @Buya (330)
<Mon Sep 28 20:30:16 2020> Alias(2720): '/item spike' | @Pepper Tavern (361)
<Mon Sep 28 20:30:46 2020> Alias(2720): '/item frozen_spear' | @Pepper Tavern (361)
<Mon Sep 28 20:30:59 2020> Alias(2720): '/item corrupted_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:31:07 2020> Alias(2720): '/item cursed_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:31:19 2020> Alias(2720): '/cursed_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:31:22 2020> Alias(2720): '/item cursed_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:31:26 2020> Alias(2720): '/item corrupted_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:33:47 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:34:54 2020> Alias(2720): '/item dark_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:35:13 2020> Alias(2720): '/item chung_ryong_scale' | @Pepper Tavern (361)
<Mon Sep 28 20:35:37 2020> Alias(2720): '/item maxcaliber' | @Pepper Tavern (361)
<Mon Sep 28 20:35:56 2020> Alias(2720): '/item titanium_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:36:13 2020> Alias(2720): '/item military_fork' | @Pepper Tavern (361)
<Mon Sep 28 20:36:24 2020> Alias(2720): '/item light_sword' | @Pepper Tavern (361)
<Mon Sep 28 20:38:06 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:40:03 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:40:30 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:40:49 2020> Alias(2720): '/item test1' | @Pepper Tavern (361)
<Mon Sep 28 20:42:09 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:42:16 2020> Alias(2720): '/item test1' | @Pepper Tavern (361)
<Mon Sep 28 20:42:18 2020> Alias(2720): '/item test2' | @Pepper Tavern (361)
<Mon Sep 28 20:47:53 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:48:04 2020> Alias(2720): '/item light_sword' | @Pepper Tavern (361)
<Mon Sep 28 20:48:25 2020> Alias(2720): '/item test1' | @Pepper Tavern (361)
<Mon Sep 28 20:48:37 2020> Alias(2720): '/item test2' | @Pepper Tavern (361)
<Mon Sep 28 20:48:48 2020> Alias(2720): '/item test3' | @Pepper Tavern (361)
<Mon Sep 28 20:48:55 2020> Alias(2720): '/item test4' | @Pepper Tavern (361)
<Mon Sep 28 20:49:00 2020> Alias(2720): '/item test5' | @Pepper Tavern (361)
<Mon Sep 28 20:49:02 2020> Alias(2720): '/item test6' | @Pepper Tavern (361)
<Mon Sep 28 20:49:05 2020> Alias(2720): '/item test7' | @Pepper Tavern (361)
<Mon Sep 28 20:49:07 2020> Alias(2720): '/item test8' | @Pepper Tavern (361)
<Mon Sep 28 20:49:09 2020> Alias(2720): '/item test9' | @Pepper Tavern (361)
<Mon Sep 28 20:49:11 2020> Alias(2720): '/item test10' | @Pepper Tavern (361)
<Mon Sep 28 20:52:00 2020> Alias(2720): '/item big_axe' | @Pepper Tavern (361)
<Mon Sep 28 20:52:22 2020> Alias(2720): '/item forsaken_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:52:29 2020> Alias(2720): '/item corrupted_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:54:18 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:54:31 2020> Alias(2720): '/tainted_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:54:34 2020> Alias(2720): '/item tainted_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:54:38 2020> Alias(2720): '/item cursed_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:54:42 2020> Alias(2720): '/item corrupted_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:54:47 2020> Alias(2720): '/item forsaken_blade' | @Pepper Tavern (361)
<Mon Sep 28 20:55:09 2020> Alias(2720): '/item tainted_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:55:14 2020> Alias(2720): '/item cursed_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:55:18 2020> Alias(2720): '/item corrupted_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:55:24 2020> Alias(2720): '/item forsaken_staff' | @Pepper Tavern (361)
<Mon Sep 28 20:56:51 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 20:57:13 2020> Alias(2720): '/item light_sword' | @Pepper Tavern (361)
<Mon Sep 28 20:59:13 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 21:00:05 2020> Alias(2720): '/item bright_staff' | @Pepper Tavern (361)
<Mon Sep 28 21:00:37 2020> Alias(2720): '/item dark_scimitar' | @Pepper Tavern (361)
<Mon Sep 28 21:01:01 2020> Alias(2720): '/item might_spear' | @Pepper Tavern (361)
<Mon Sep 28 21:01:39 2020> Alias(2720): '/item crystal_staff' | @Pepper Tavern (361)
<Mon Sep 28 21:02:03 2020> Alias(2720): '/item stone_axe' | @Pepper Tavern (361)
<Mon Sep 28 21:02:25 2020> Alias(2720): '/item faerie_light' | @Pepper Tavern (361)
<Mon Sep 28 21:02:38 2020> Alias(2720): '/item midnight_broadsword' | @Pepper Tavern (361)
<Mon Sep 28 21:02:50 2020> Alias(2720): '/item chaos_blade' | @Pepper Tavern (361)
<Mon Sep 28 21:03:01 2020> Alias(2720): '/item sa_san_spike' | @Pepper Tavern (361)
<Mon Sep 28 21:04:22 2020> Alias(2720): '/item swift_dagger' | @Pepper Tavern (361)
<Mon Sep 28 21:04:26 2020> Alias(2720): '/item fox_blade' | @Pepper Tavern (361)
<Mon Sep 28 21:04:32 2020> Alias(2720): '/item moonblade' | @Pepper Tavern (361)
<Mon Sep 28 21:04:36 2020> Alias(2720): '/item white_moon_axe' | @Pepper Tavern (361)
<Mon Sep 28 21:04:41 2020> Alias(2720): '/item steelthorn' | @Pepper Tavern (361)
<Mon Sep 28 21:04:44 2020> Alias(2720): '/item flamefang' | @Pepper Tavern (361)
<Mon Sep 28 21:04:49 2020> Alias(2720): '/item blood' | @Pepper Tavern (361)
<Mon Sep 28 21:04:53 2020> Alias(2720): '/item nimble_blade' | @Pepper Tavern (361)
<Mon Sep 28 21:05:07 2020> Alias(2720): '/item swift_sword' | @Pepper Tavern (361)
<Mon Sep 28 21:05:12 2020> Alias(2720): '/item hoof_sabre' | @Pepper Tavern (361)
<Mon Sep 28 21:05:19 2020> Alias(2720): '/item dark_dagger' | @Pepper Tavern (361)
<Mon Sep 28 21:05:25 2020> Alias(2720): '/item light_broadsword' | @Pepper Tavern (361)
<Mon Sep 28 21:05:33 2020> Alias(2720): '/item mythic_sabre' | @Pepper Tavern (361)
<Mon Sep 28 21:05:39 2020> Alias(2720): '/item flameblade' | @Pepper Tavern (361)
<Mon Sep 28 21:05:47 2020> Alias(2720): '/item midnight_sword' | @Pepper Tavern (361)
<Mon Sep 28 21:05:55 2020> Alias(2720): '/item sevenleaf_sword' | @Pepper Tavern (361)
<Mon Sep 28 21:08:29 2020> Alias(2720): '/item axe' | @Pepper Tavern (361)
<Mon Sep 28 21:15:04 2020> Alias(2720): '/item staff_of_power' | @Pepper Tavern (361)
<Mon Sep 28 21:15:20 2020> Alias(2720): '/item wand_of_fire' | @Pepper Tavern (361)
<Mon Sep 28 21:16:05 2020> Alias(2720): '/item staff_of_defense' | @Pepper Tavern (361)
<Mon Sep 28 21:16:25 2020> Alias(2720): '/item poet_whip' | @Pepper Tavern (361)
<Mon Sep 28 21:16:40 2020> Alias(2720): '/item winter_scepter' | @Pepper Tavern (361)
<Mon Sep 28 21:17:54 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 21:18:52 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 21:19:43 2020> Alias(2720): '/reloaditem' | @Pepper Tavern (361)
<Mon Sep 28 21:20:14 2020> Alias(2720): '/stealth' | @Buya (330)
