<Sat Oct 10 14:14:15 2020> Alias(2720): '/stealth' | @Pepper Tavern (361)
<Sat Oct 10 20:56:51 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 20:56:53 2020> Alias(2720): 'kugnae' | @Wilderness (1002)
<Sat Oct 10 20:57:06 2020> Alias(2720): 'buya' | @Wilderness (1002)
<Sat Oct 10 20:57:11 2020> Alias(2720): 'kugnae' | @Pepper Tavern (361)
<Sat Oct 10 20:58:00 2020> Alias(2720): '/rl' | @Pepper Tavern (361)
<Sat Oct 10 20:58:18 2020> Alias(2720): 'kugnae' | @Wilderness (1002)
<Sat Oct 10 20:58:40 2020> Alias(2720): '/rl' | @Walsuk Tavern (2)
<Sat Oct 10 20:58:41 2020> Alias(2720): 'buya' | @Walsuk Tavern (2)
<Sat Oct 10 20:58:46 2020> Alias(2720): 'kugnae' | @Pepper Tavern (361)
<Sat Oct 10 20:58:51 2020> Alias(2720): 'nagnang' | @Walsuk Tavern (2)
<Sat Oct 10 20:58:56 2020> Alias(2720): 'mythic' | @Tavern of Metal (2505)
<Sat Oct 10 20:59:36 2020> Alias(2720): '/rl' | @Tavern of Metal (2505)
<Sat Oct 10 20:59:38 2020> Alias(2720): 'kugnae' | @Tavern of Metal (2505)
<Sat Oct 10 21:00:35 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:00:46 2020> Alias(2720): 'kugnae' | @Wilderness (1002)
<Sat Oct 10 21:00:50 2020> Alias(2720): 'buya' | @Walsuk Tavern (2)
<Sat Oct 10 21:00:54 2020> Alias(2720): 'nagnang' | @Pepper Tavern (361)
<Sat Oct 10 21:01:01 2020> Alias(2720): 'mythic' | @Tavern of Metal (2505)
<Sat Oct 10 21:09:28 2020> Alias(2720): '/stealth' | @Mythic Nexus (41)
<Sat Oct 10 21:09:35 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:11:03 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:13:19 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:13:21 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:16:09 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:16:16 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:16:41 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:18:00 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:18:01 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:18:45 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:18:46 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:19:33 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:19:55 2020> Alias(2720): 'wilderness' | @Wilderness (1002)
<Sat Oct 10 21:19:57 2020> Alias(2720): 'kugnae' | @Wilderness (1002)
<Sat Oct 10 21:20:02 2020> Alias(2720): 'wilderness' | @Walsuk Tavern (2)
<Sat Oct 10 21:20:37 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:20:39 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:20:51 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:20:52 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:20:54 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:21:05 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:21:07 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:21:16 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:21:17 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:21:31 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:21:32 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:21:45 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:21:45 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:23:07 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:23:07 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:23:23 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:23:23 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:23:37 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:23:38 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:24:17 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:24:18 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:24:27 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:24:31 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:25:08 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:25:08 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:25:50 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:25:50 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:25:59 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:25:59 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:26:08 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:26:08 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:26:17 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:26:17 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:26:24 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:26:25 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:26:34 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:26:35 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:27:15 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:27:16 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:27:26 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:27:27 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:27:36 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:27:36 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:27:59 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:28:00 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:29:21 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:29:21 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:29:29 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:29:30 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:29:40 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:29:42 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:29:51 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:29:52 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:30:02 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:30:02 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:30:05 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:30:20 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:30:20 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:30:33 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:30:33 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:30:41 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:30:45 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:31:26 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:31:27 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:32:24 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:32:25 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:32:29 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:32:58 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:32:59 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Sat Oct 10 21:33:38 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:33:40 2020> Alias(2720): '/waypoint' | @Wilderness (1002)
<Sat Oct 10 21:33:43 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:34:45 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:35:08 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:35:10 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:35:40 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:35:41 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:38:48 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:38:49 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Sat Oct 10 21:42:33 2020> Alias(2720): '/rl' | @Wilderness (1002)
<Sat Oct 10 21:42:37 2020> Alias(2720): 'waypoint' | @Sel's Home (1143)
<Sat Oct 10 21:42:46 2020> Alias(2720): 'waypoint' | @Sel's Home (1143)
<Sat Oct 10 21:43:32 2020> Alias(2720): '/rl' | @Sel's Home (1143)
<Sat Oct 10 21:43:57 2020> Alias(2720): 'sel' | @Wilderness (1002)
<Sat Oct 10 21:44:46 2020> Alias(2720): 'sel' | @Pepper Tavern (361)
<Sat Oct 10 21:44:56 2020> Alias(2720): 'sel' | @Tavern of Fire (2501)
<Sat Oct 10 21:46:58 2020> Alias(2720): '/rl' | @Tavern of Fire (2501)
<Sat Oct 10 21:47:35 2020> Alias(2720): '/rl' | @Tavern of Fire (2501)
<Sat Oct 10 21:51:57 2020> Alias(2720): '/rl' | @Tavern of Fire (2501)
<Sat Oct 10 21:52:16 2020> Alias(2720): '/rl' | @Tavern of Fire (2501)
<Sat Oct 10 22:02:54 2020> Alias(2720): '/rl' | @Tavern of Fire (2501)
<Sat Oct 10 22:02:55 2020> Alias(2720): 'kugnae' | @Tavern of Fire (2501)
<Sat Oct 10 22:03:32 2020> Alias(2720): '/rl' | @Kugnae (0)
<Sat Oct 10 22:03:34 2020> Alias(2720): 'kugnae' | @Walsuk Tavern (2)
<Sat Oct 10 22:03:36 2020> Alias(2720): 'buya' | @Walsuk Tavern (2)
<Sat Oct 10 22:03:46 2020> Alias(2720): 'mythic' | @Pepper Tavern (361)
<Sat Oct 10 22:11:57 2020> Alias(2720): '/rl' | @Mythic Nexus (41)
